ID,Texto,Tipo,Subsistema,Specific,Measurable,Achievable,Relevant,TimeBound,Clear,Concise,Consistent,Trazable,Verificable,NoAmbiguo,Calidad_Pct,Estado,Texto_Mejorado
RF-1,"El sistema leerá un CSV con los campos de la tabla anterior almacenando su contenido en un sistema de gestión de datos persistente.",Funcional,Carga de datos,0.5,0.5,1,1,0,0.5,1,1,1,0.5,0.5,59,Mejorar,"El sistema deberá leer ficheros CSV codificados en UTF-8 con los siguientes campos: id, user_agent, os, browser, device, method, uri_episode, episode_title, podcast_title, podcast_topic, status, bytes. El sistema deberá almacenar cada registro válido en la base de datos dentro de los 5 segundos posteriores a su lectura."
RF-2,"El sistema solo aceptará solicitudes a través del método HTTP GET.",Funcional,Validación de datos,1,1,1,1,1,1,1,1,1,1,1,100,OK,
RF-3,"El sistema sólo aceptará estado de peticiones 200 o 206.",Funcional,Validación de datos,1,1,1,1,1,1,1,1,1,1,1,100,OK,
RF-4,"El sistema detectará posibles bots, solicitudes que incluyan en el agente de usuario una de estas palabras: {BOT, SPIDER, CRAWLER, HERITRIX}.",Funcional,Validación de datos,1,1,1,1,1,0.5,1,1,1,1,0.5,80,Mejorar,"El sistema deberá detectar como bot toda solicitud cuyo campo user_agent contenga alguna de las siguientes cadenas (sin distinción de mayúsculas/minúsculas): BOT, SPIDER, CRAWLER, HERITRIX."
RF-5,"El sistema sólo aceptará solicitudes de archivos MP3. Estos archivos terminan con la extensión .mp3.",Funcional,Validación de datos,1,1,1,1,1,1,1,1,1,1,0.5,90,OK,
RF-6,"El sistema generará una observación de error para cada solicitud no válida, incluido un nombre de métrica: Bad method, Bad status, Bad format resource, Bot detected, NA. Una observación contendrá: ID único, Valor: 1, Métrica, URI Episode.",Funcional,Generación de datos,1,1,1,1,1,1,0.5,1,1,1,1,90,OK,
RF-7,"El sistema generará una nueva observación (descarga) si el número de solicitudes de un usuario único (id + user_agent) para un episodio ha acumulado más bytes que un umbral. Status 206: >= 1048576 bytes. Status 200: >= 31457280 bytes.",Funcional,Generación de datos,1,1,1,1,1,0.5,0,1,1,1,0.5,80,Mejorar,"El sistema deberá generar una observación de descarga cuando un usuario único (identificado por id + user_agent) acumule bytes transferidos para un episodio según: Status 206 >= 1048576 bytes (1MB), Status 200 >= 31457280 bytes (30MB). Tras generar la observación, solicitudes posteriores del mismo usuario para el mismo episodio serán descartadas."
RF-8,"El sistema generará estadísticas del proceso de análisis: número de Download 200, Download 206, Bad method, Bad status, Bad format resource, Bot detected.",Funcional,Resumen de datos,1,1,1,1,0.5,1,1,1,1,1,1,95,OK,
RF-9,"El sistema generará una lista de los k programas principales ordenados por número de descargas (200 o 206). K >= 0. Lista de tuplas: (título del podcast, número de descargas).",Funcional,Resumen de datos,1,1,1,1,1,1,1,1,1,1,0.5,90,OK,
RF-10,"El sistema visualizará al menos una lista de los k programas principales ordenados por número de descargas en un gráfico de columnas.",Funcional,Visualización,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5,70,Mejorar,"El sistema deberá mostrar un gráfico de columnas verticales que represente los K programas con más descargas. El eje X mostrará los títulos de los podcasts y el eje Y el número total de descargas. El gráfico deberá ser interactivo."
RF-11,"El sistema recomendará k episodios a un usuario predefinido. Proceso: 1) Calcular temas descargados. 2) Obtener episodios de esos temas. 3) Obtener descargas. 4) Ordenar por descargas. 5) Retornar primeros 5.",Funcional,Recomendación,1,1,1,1,1,1,0.5,0.5,1,1,0.5,80,Mejorar,"El sistema deberá recomendar K episodios a un usuario. Algoritmo: 1) Identificar temas descargados por el usuario. 2) Obtener episodios de dichos temas. 3) Excluir episodios ya descargados. 4) Ordenar por número de descargas (desc). 5) Retornar los primeros K."
RFN-1,"El sistema ofrecerá un API de servicios web basado en OpenAPI con operaciones CRUD sobre Podcast, Episodio, Métrica y Observación, más Recomendación.",No Funcional,Interoperabilidad,1,1,1,1,1,1,1,1,1,1,1,90,OK,
RFN-2,"El sistema funcionará bajo protocolos seguros tipo HTTPS o al menos el API contendrá usuario y contraseña para su consumo.",No Funcional,Seguridad,0.5,0.5,1,1,1,0.5,1,1,1,0.5,0.5,60,Revisar,"El sistema deberá implementar HTTPS con certificado TLS 1.2 o superior. Todos los endpoints del API deberán requerir autenticación mediante JWT con expiración máxima de 24 horas."
